NAME_FIRST | user[billing][firstname] | First Name |  | user[billing][firstname]_1-default
NAME_LAST | user[billing][lastname] | Last Name |  | user[billing][firstname]_1-default
ADDRESS_HOME_LINE1 | user[billing][address_first] | Billing Address |  | user[billing][firstname]_1-default
ADDRESS_HOME_LINE2 | user[billing][address_second] | Billing Suite/Apt # |  | user[billing][firstname]_1-default
ADDRESS_HOME_CITY | user[billing][city] | Billing City |  | user[billing][firstname]_1-default
ADDRESS_HOME_STATE | user[billing][state] | State/Province | CA | user[billing][firstname]_1-default
ADDRESS_HOME_ZIP | user[billing][zip] | Billing Postal Code | 94043 | user[billing][firstname]_1-default
ADDRESS_HOME_COUNTRY | user[billing][country] | Billing Country | US | user[billing][firstname]_1-default
PHONE_HOME_WHOLE_NUMBER | user[phone_first] | Phone Number |  | user[billing][firstname]_1-default
EMAIL_ADDRESS | user[email] | Email Address |  | user[billing][firstname]_1-default
EMAIL_ADDRESS | user[email_confirm] | Confirm Email Address |  | user[billing][firstname]_1-default
CREDIT_CARD_NUMBER | payment[cc_number] | Credit Card Number |  | credit-card-cc
CREDIT_CARD_EXP_MONTH | payment[cc_expmo] | Expiration Month |  | credit-card-cc
CREDIT_CARD_EXP_4_DIGIT_YEAR | payment[cc_expyr] | Expiration Year |  | credit-card-cc
CREDIT_CARD_VERIFICATION_CODE | payment[sigpanel] | CVV2/Panel Code |  | credit-card-cc
